@relation yeast
@attribute atr1 numeric
@attribute atr2 numeric
@attribute atr3 numeric
@attribute atr4 numeric
@attribute atr5 numeric
@attribute atr6 numeric
@attribute atr7 numeric
@attribute atr8 numeric
@attribute atr9 numeric
@attribute atr10 numeric
@attribute atr11 numeric
@attribute atr12 numeric
@attribute atr13 numeric
@attribute atr14 numeric
@attribute atr15 numeric
@attribute atr16 numeric
@attribute atr17 numeric
@attribute atr18 numeric
@attribute atr19 numeric
@attribute atr20 numeric
@attribute Classe {cluster1,cluster2,cluster3,cluster4}

@data

0.0735,-0.267,-0.07325,-0.40575,-0.3615,0.061,-0.1815,-0.31325,-0.45675,-0.03325,-0.551,-0.19325,-0.46675,-0.28425,-0.48525,-0.2115,-0.3995,-0.27825,-0.316,-0.5815,cluster1
-0.01625,-0.40125,-0.358,-0.38875,-0.336,-0.06925,-0.15,-0.40075,-0.38425,0.04425,-0.69425,-0.287,-0.68725,-0.39325,-0.60375,-0.38,-0.50825,-0.311,-0.38,-0.9025,cluster1
0.11775,-0.2835,-0.339,-0.361,-0.446,-0.00025,-0.18975,-0.38425,-0.46225,-0.00675,-0.722,-0.19375,-0.65675,-0.316,-0.6295,-0.2895,-0.41825,-0.2015,-0.3095,-0.72125,cluster1
0.04675,-0.31275,-0.25175,-0.45325,-0.407,-0.11625,-0.16375,-0.40475,-0.39275,0.0045,-0.569,-0.22,-0.48275,-0.30475,-0.47675,-0.2585,-0.36325,-0.21575,-0.31425,-0.6825,cluster1
0.0475,-0.3985,-0.239,-0.511,-0.41025,-0.052,-0.191,-0.42425,-0.54925,-0.0115,-0.68125,-0.21725,-0.621,-0.313,-0.6,-0.25275,-0.446,-0.26625,-0.38725,-0.78325,cluster1
-0.06625,-0.31125,-0.1255,-0.298,-0.22325,-0.08475,-0.15425,-0.3055,-0.29725,0.0255,-0.42125,-0.005,-0.40225,-0.14525,-0.40125,-0.154,-0.25025,-0.06675,-0.239,-0.68525,cluster1
0.0485,-0.18925,-0.184,-0.271,-0.45325,0.07975,-0.1495,-0.2965,-0.373,-0.0735,-0.5565,-0.02175,-0.40475,-0.17975,-0.45775,-0.15125,-0.22825,-0.08225,-0.235,-0.54425,cluster1
0.05125,-0.28375,-0.186,-0.447,-0.44175,0.00475,-0.213,-0.35825,-0.49525,-0.0125,-0.52525,-0.16625,-0.4955,-0.28775,-0.5065,-0.18575,-0.34875,-0.21625,-0.314,-0.54725,cluster1
-0.02625,-0.34725,-0.224,-0.36575,-0.27725,-0.0385,-0.15275,-0.3615,-0.3545,0.061,-0.54625,-0.1495,-0.515,-0.2375,-0.48775,-0.19425,-0.38475,-0.18725,-0.27375,-0.7845,cluster1
0.0715,-0.2035,-0.247,-0.2615,-0.46,0.04925,-0.1155,-0.253,-0.394,-0.071,-0.57725,-0.10775,-0.5185,-0.23575,-0.52875,-0.2215,-0.2675,-0.167,-0.3175,-0.5665,cluster1
0.06725,-0.20925,-0.276,-0.2675,-0.43725,0.052,-0.119,-0.25575,-0.39375,-0.108,-0.61575,-0.1095,-0.49475,-0.241,-0.5175,-0.2175,-0.2665,-0.163,-0.31525,-0.56325,cluster1
-0.0975,-0.45475,-0.216,-0.35425,-0.27975,-0.225,-0.16175,-0.476,-0.3245,-0.012,-0.3085,-0.2115,-0.5375,-0.26675,-0.52875,-0.27625,-0.3405,-0.17575,-0.27075,-0.9,cluster1
0.08775,-0.331,-0.24025,-0.34275,-0.3605,-0.221,-0.15025,-0.39725,-0.32425,-0.044,-0.2775,-0.271,-0.457,-0.2665,-0.4365,-0.344,-0.414,-0.26,-0.24825,-0.552,cluster1
0.067,-0.339,-0.352,-0.43275,-0.4405,-0.0365,-0.148,-0.38125,-0.506,-0.07,-0.7525,-0.234,-0.5695,-0.3375,-0.61775,-0.282,-0.3945,-0.26075,-0.372,-0.82,cluster1
0.041,-0.29675,-0.2995,-0.337,-0.36025,-0.04425,-0.12825,-0.373,-0.377,-0.061,-0.7125,-0.1355,-0.6,-0.23475,-0.5695,-0.20275,-0.25975,-0.16475,-0.27,-0.74,cluster1
0.0005,-0.36075,-0.19025,-0.43675,-0.3135,-0.03225,-0.1585,-0.364,-0.40875,0.03025,-0.48225,-0.12875,-0.45025,-0.25875,-0.4215,-0.20075,-0.28325,-0.1845,-0.3295,-0.4945,cluster1
0.04925,-0.299,-0.21275,-0.42325,-0.452,-0.01675,-0.163,-0.415,-0.47675,-0.02525,-0.5915,-0.14325,-0.53325,-0.2755,-0.58225,-0.215,-0.3325,-0.188,-0.31075,-0.619,cluster1
0.065,-0.2685,-0.249,-0.408,-0.35925,0.0335,-0.20425,-0.3215,-0.4295,-0.01325,-0.55675,-0.18675,-0.449,-0.2605,-0.4545,-0.2205,-0.38075,-0.21925,-0.3005,-0.698,cluster1
-0.0405,-0.4455,-0.35975,-0.42125,-0.332,-0.089,-0.16175,-0.44275,-0.38925,0.02975,-0.68525,-0.275,-0.633,-0.39925,-0.59425,-0.336,-0.441,-0.278,-0.38275,-0.877,cluster1
0.0195,-0.27875,-0.1845,-0.30775,-0.34625,0.002,-0.12425,-0.29475,-0.35375,-0.09575,-0.3915,0.00225,-0.393,-0.116,-0.357,-0.10925,-0.167,-0.025,-0.17625,-0.6425,cluster1
0.0835,-0.23125,-0.28025,-0.28975,-0.37325,0.01525,-0.11725,-0.29775,-0.32325,-0.095,-0.5585,-0.117,-0.42725,-0.21775,-0.44275,-0.16025,-0.24,-0.1445,-0.25475,-0.68375,cluster1
0.02225,-0.23675,-0.22425,-0.33925,-0.37075,-0.00375,-0.1845,-0.2925,-0.3845,-0.004,-0.38975,-0.1385,-0.391,-0.22575,-0.375,-0.1435,-0.356,-0.19275,-0.22725,-0.63375,cluster1
0.05125,-0.354,-0.31425,-0.357,-0.2665,-0.07725,-0.11275,-0.34125,-0.30575,0.0055,-0.57025,-0.206,-0.5015,-0.28725,-0.431,-0.271,-0.39175,-0.23575,-0.3275,-0.845,cluster1
0.0165,-0.2835,-0.10775,-0.29775,-0.1625,-0.03675,-0.136,-0.3055,-0.2365,0.1005,-0.444,-0.17775,-0.41025,-0.26225,-0.3915,-0.144,-0.4385,-0.20725,-0.232,-0.751,cluster1
-0.01775,-0.3465,-0.10525,-0.37575,-0.21125,-0.07975,-0.14275,-0.32125,-0.32675,0.08725,-0.51475,-0.08875,-0.4655,-0.28075,-0.4255,-0.211,-0.47125,-0.1715,-0.25775,-0.77075,cluster1
0.02575,-0.312,-0.22525,-0.36825,-0.3455,-0.068,-0.1365,-0.35625,-0.43775,-0.045,-0.67,-0.1455,-0.55825,-0.288,-0.565,-0.22675,-0.44425,-0.21375,-0.2865,-0.8515,cluster1
0.01875,-0.3185,-0.16925,-0.318,-0.32675,-0.011,-0.117,-0.29425,-0.36375,-0.106,-0.38775,0.03275,-0.34,-0.13225,-0.33875,-0.128,-0.146,-0.0425,-0.177,-0.6515,cluster1
-0.05775,-0.36675,-0.2985,-0.40825,-0.31175,-0.0655,-0.12175,-0.3365,-0.396,0.04775,-0.5065,-0.1485,-0.44775,-0.2685,-0.43225,-0.30125,-0.427,-0.2175,-0.3215,-0.83725,cluster1
-0.00025,-0.33325,-0.29775,-0.4275,-0.36275,-0.05525,-0.1345,-0.3685,-0.385,-0.0025,-0.68475,-0.2135,-0.62875,-0.27775,-0.596,-0.26975,-0.39775,-0.213,-0.3145,-0.79075,cluster1
0.0585,-0.26975,-0.36225,-0.30925,-0.3275,0.02975,-0.13125,-0.3175,-0.28125,-0.0335,-0.613,-0.20075,-0.493,-0.26425,-0.44275,-0.2725,-0.32925,-0.22475,-0.3275,-0.7065,cluster1
0.08075,-0.21975,-0.30475,-0.285,-0.418,0.0195,-0.115,-0.30125,-0.33175,-0.0705,-0.5745,-0.10625,-0.4665,-0.234,-0.45175,-0.1775,-0.24825,-0.158,-0.25475,-0.71975,cluster1
-0.039,-0.37425,-0.273,-0.40925,-0.48675,-0.03025,-0.18825,-0.481,-0.4395,0.0695,-0.65475,-0.2575,-0.643,-0.36775,-0.6645,-0.25175,-0.45325,-0.3005,-0.3715,-0.702,cluster1
0.043,-0.25025,-0.24875,-0.337,-0.41525,-0.071,-0.166,-0.40025,-0.49625,0.041,-0.70375,-0.15425,-0.63625,-0.266,-0.60725,-0.1795,-0.34175,-0.1845,-0.2565,-0.629,cluster1
0.04575,-0.31875,-0.34075,-0.3075,-0.389,-0.0135,-0.1395,-0.3715,-0.39875,-0.0525,-0.731,-0.16425,-0.62625,-0.27175,-0.567,-0.23775,-0.29825,-0.19475,-0.3165,-0.81,cluster1
-0.07525,-0.35075,-0.2285,-0.336,-0.27275,-0.16575,-0.146,-0.37475,-0.3755,0.0855,-0.64075,-0.07825,-0.71575,-0.23575,-0.609,-0.24775,-0.41825,-0.10625,-0.3065,-0.72175,cluster1
0.04525,-0.3425,-0.29275,-0.35725,-0.36575,-0.02875,-0.119,-0.36125,-0.389,-0.08475,-0.659,-0.175,-0.57575,-0.29075,-0.54675,-0.2255,-0.371,-0.199,-0.3585,-0.8145,cluster1
0.03475,-0.3365,-0.25325,-0.41,-0.40325,-0.07025,-0.18475,-0.3825,-0.44075,0.05175,-0.5685,-0.17475,-0.501,-0.30525,-0.534,-0.25675,-0.37225,-0.24775,-0.2815,-0.67875,cluster1
-0.01175,-0.36575,-0.0805,-0.425,-0.27825,-0.09225,-0.16475,-0.498,-0.338,0.0645,-0.53625,-0.13825,-0.5405,-0.3095,-0.46175,-0.1575,-0.46275,-0.149,-0.19825,-0.64925,cluster1
0.04775,-0.24325,-0.266,-0.3255,-0.444,0.05225,-0.171,-0.33625,-0.4315,-0.047,-0.55625,-0.08725,-0.50975,-0.20575,-0.484,-0.20625,-0.237,-0.1275,-0.24175,-0.59475,cluster1
0.04025,-0.27625,-0.20525,-0.39325,-0.45425,0.02475,-0.16075,-0.387,-0.48225,-0.0165,-0.60775,-0.19325,-0.55325,-0.27875,-0.5895,-0.214,-0.354,-0.176,-0.32675,-0.6205,cluster1
-0.09575,-0.36725,-0.21925,-0.38225,-0.3185,-0.093,-0.18175,-0.43,-0.4555,0.07,-0.59625,-0.0935,-0.5685,-0.25225,-0.52675,-0.22525,-0.4275,-0.17175,-0.219,-0.7025,cluster1
0.005,-0.26075,-0.2695,-0.3975,-0.34475,-0.016,-0.14975,-0.3145,-0.33575,-0.04775,-0.53225,-0.12625,-0.45275,-0.18925,-0.437,-0.21225,-0.32075,-0.12275,-0.28275,-0.6805,cluster1
0.02975,-0.36325,-0.2345,-0.45475,-0.3875,0.00675,-0.20375,-0.36625,-0.5065,-0.01625,-0.53375,-0.19675,-0.49625,-0.25075,-0.491,-0.21675,-0.35225,-0.22125,-0.316,-0.75125,cluster1
-0.0185,-0.27275,-0.276,-0.297,-0.389,-0.028,-0.11575,-0.285,-0.3275,-0.1115,-0.631,-0.0305,-0.5575,-0.17475,-0.533,-0.199,-0.27075,-0.11025,-0.3255,-0.746,cluster1
0.0055,-0.48325,-0.30025,-0.50375,-0.44525,-0.14875,-0.12825,-0.5285,-0.51175,0.034,-0.757,-0.252,-0.71475,-0.33975,-0.7105,-0.29175,-0.503,-0.24825,-0.407,-0.962,cluster1
0.02175,-0.29575,-0.24375,-0.3245,-0.2915,-0.0825,-0.11975,-0.39275,-0.32325,0.0685,-0.4265,-0.1555,-0.4535,-0.26225,-0.3775,-0.10325,-0.34725,-0.20175,-0.27075,-0.6635,cluster1
0.0515,-0.34675,-0.238,-0.40525,-0.36575,-0.01275,-0.1645,-0.38175,-0.471,0.073,-0.5665,-0.25,-0.5515,-0.30625,-0.52325,-0.227,-0.43775,-0.2715,-0.3185,-0.75525,cluster1
-0.0305,-0.41375,-0.26675,-0.4405,-0.48075,-0.05175,-0.203,-0.47825,-0.46975,0.07625,-0.681,-0.229,-0.614,-0.3645,-0.688,-0.23875,-0.4525,-0.2925,-0.362,-0.7665,cluster1
0.0095,-0.2955,-0.2195,-0.39425,-0.41125,-0.04275,-0.15475,-0.30075,-0.32975,-0.02875,-0.4715,-0.14975,-0.2405,-0.21275,-0.47075,-0.26875,-0.4265,-0.146,-0.3125,-0.63225,cluster1
0.031,-0.32875,-0.28575,-0.42225,-0.3495,-0.0575,-0.13675,-0.381,-0.39075,0.00925,-0.69375,-0.16925,-0.59125,-0.2625,-0.595,-0.253,-0.36,-0.21075,-0.30525,-0.80575,cluster1
-0.008,-0.377,-0.19725,-0.442,-0.36425,-0.0115,-0.185,-0.37775,-0.41325,-0.0255,-0.43125,-0.101,-0.40125,-0.225,-0.48,-0.20725,-0.28875,-0.17725,-0.284,-0.624,cluster1
-0.063,-0.28,-0.3215,-0.30475,-0.35575,-0.0885,-0.2105,-0.21575,-0.34325,-0.014,-0.4075,-0.1355,-0.71375,-0.24525,-0.625,-0.27825,-0.439,-0.216,-0.27075,-0.66575,cluster1
